attendance_id,student_id,date,status,subject_code,period,teacher_id,reason,class_room
A001,S001,2024-08-05,มาเรียน,M101,1,T001,,1/1
A002,S001,2024-08-06,มาเรียน,T101,2,T002,,1/1
A003,S001,2024-08-07,มาเรียน,S101,3,T003,,1/1
A004,S001,2024-08-08,ขาดเรียน,E101,4,T004,ป่วย,1/1
A005,S001,2024-08-09,มาเรียน,SS101,5,T005,,1/1
A006,S002,2024-08-05,มาเรียน,M101,1,T001,,1/1
A007,S002,2024-08-06,มาสาย,T101,2,T002,รถติด,1/1
A008,S002,2024-08-07,มาเรียน,S101,3,T003,,1/1
A009,S002,2024-08-08,มาเรียน,E101,4,T004,,1/1
A010,S002,2024-08-09,มาเรียน,SS101,5,T005,,1/1
A011,S003,2024-08-05,มาเรียน,M101,1,T001,,1/2
A012,S003,2024-08-06,มาเรียน,T101,2,T002,,1/2
A013,S003,2024-08-07,มาเรียน,S101,3,T003,,1/2
A014,S003,2024-08-08,มาเรียน,E101,4,T004,,1/2
A015,S003,2024-08-09,มาเรียน,SS101,5,T005,,1/2
A016,S004,2024-08-05,มาสาย,M101,1,T001,ตื่นสาย,1/2
A017,S004,2024-08-06,ขาดเรียน,T101,2,T002,กิจส่วนตัว,1/2
A018,S004,2024-08-07,มาเรียน,S101,3,T003,,1/2
A019,S004,2024-08-08,มาเรียน,E101,4,T004,,1/2
A020,S004,2024-08-09,มาสาย,SS101,5,T005,รถเสีย,1/2
A021,S005,2024-08-05,มาเรียน,M101,1,T001,,1/3
A022,S005,2024-08-06,มาเรียน,T101,2,T002,,1/3
A023,S005,2024-08-07,มาเรียน,S101,3,T003,,1/3
A024,S005,2024-08-08,มาเรียน,E101,4,T004,,1/3
A025,S005,2024-08-09,มาเรียน,SS101,5,T005,,1/3
A026,S001,2024-09-02,มาเรียน,M101,1,T001,,1/1
A027,S001,2024-09-03,มาเรียน,T101,2,T002,,1/1
A028,S001,2024-09-04,มาสาย,S101,3,T003,ฝนตก,1/1
A029,S001,2024-09-05,มาเรียน,E101,4,T004,,1/1
A030,S001,2024-09-06,มาเรียน,SS101,5,T005,,1/1
A031,S009,2024-08-05,มาเรียน,M201,1,T009,,2/1
A032,S009,2024-08-06,มาเรียน,T201,2,T010,,2/1
A033,S009,2024-08-07,มาเรียน,S201,3,T011,,2/1
A034,S009,2024-08-08,มาเรียน,E201,4,T012,,2/1
A035,S009,2024-08-09,ลากิจ,SS201,5,T013,ไปงานครอบครัว,2/1
A036,S010,2024-08-05,มาเรียน,M201,1,T009,,2/1
A037,S010,2024-08-06,มาเรียน,T201,2,T010,,2/1
A038,S010,2024-08-07,มาเรียน,S201,3,T011,,2/1
A039,S010,2024-08-08,มาเรียน,E201,4,T012,,2/1
A040,S010,2024-08-09,มาเรียน,SS201,5,T013,,2/1
A041,S017,2024-08-05,มาเรียน,M301,1,T017,,3/1
A042,S017,2024-08-06,มาเรียน,T301,2,T010,,3/1
A043,S017,2024-08-07,ลาป่วย,S301,3,T018,ไข้หวัด,3/1
A044,S017,2024-08-08,ลาป่วย,E301,4,T019,ไข้หวัด,3/1
A045,S017,2024-08-09,มาเรียน,SS301,5,T013,,3/1
A046,S018,2024-08-05,มาเรียน,M301,1,T017,,3/1
A047,S018,2024-08-06,มาสาย,T301,2,T010,ติดธุระ,3/1
A048,S018,2024-08-07,มาเรียน,S301,3,T018,,3/1
A049,S018,2024-08-08,มาเรียน,E301,4,T019,,3/1
A050,S018,2024-08-09,มาเรียน,SS301,5,T013,,3/1
A051,S023,2024-08-05,มาเรียน,M401,1,T001,,4/1
A052,S023,2024-08-06,มาเรียน,T401,2,T002,,4/1
A053,S023,2024-08-07,มาเรียน,S401,3,T003,,4/1
A054,S023,2024-08-08,มาเรียน,E401,4,T012,,4/1
A055,S023,2024-08-09,มาเรียน,SS401,5,T013,,4/1
A056,S029,2024-08-05,มาเรียน,M501,1,T009,,5/1
A057,S029,2024-08-06,มาเรียน,T501,2,T010,,5/1
A058,S029,2024-08-07,มาเรียน,S501,3,T011,,5/1
A059,S029,2024-08-08,มาเรียน,E501,4,T019,,5/1
A060,S029,2024-08-09,มาเรียน,SS501,5,T013,,5/1
A061,S035,2024-08-05,มาเรียน,M601,1,T017,,6/1
A062,S035,2024-08-06,มาเรียน,T601,2,T002,,6/1
A063,S035,2024-08-07,มาเรียน,S601,3,T018,,6/1
A064,S035,2024-08-08,มาเรียน,E601,4,T012,,6/1
A065,S035,2024-08-09,มาเรียน,SS601,5,T013,,6/1
A066,S001,2024-10-07,มาเรียน,M101,1,T001,,1/1
A067,S001,2024-10-08,มาเรียน,T101,2,T002,,1/1
A068,S001,2024-10-09,มาเรียน,S101,3,T003,,1/1
A069,S001,2024-10-10,มาเรียน,E101,4,T004,,1/1
A070,S001,2024-10-11,มาเรียน,SS101,5,T005,,1/1
A071,S006,2024-08-05,ขาดเรียน,M101,1,T001,ไม่ทราบสาเหตุ,1/3
A072,S006,2024-08-06,ขาดเรียน,T101,2,T002,ไม่ทราบสาเหตุ,1/3
A073,S006,2024-08-07,มาสาย,S101,3,T003,มาสาย,1/3
A074,S006,2024-08-08,มาเรียน,E101,4,T004,,1/3
A075,S006,2024-08-09,ขาดเรียน,SS101,5,T005,ไม่ทราบสาเหตุ,1/3
A076,S002,2024-11-04,มาเรียน,M101,1,T001,,1/1
A077,S002,2024-11-05,มาเรียน,T101,2,T002,,1/1
A078,S002,2024-11-06,มาเรียน,S101,3,T003,,1/1
A079,S002,2024-11-07,มาเรียน,E101,4,T004,,1/1
A080,S002,2024-11-08,มาสาย,SS101,5,T005,รถติด,1/1
A081,S003,2024-11-04,มาเรียน,M101,1,T001,,1/2
A082,S003,2024-11-05,มาเรียน,T101,2,T002,,1/2
