record_id,student_id,subject_code,subject_name,semester,academic_year,midterm_score,final_score,total_score,grade,teacher_id,class_room
R001,S001,M101,คณิตศาสตร์ ม.1,1,2567,35,40,75,3,T001,1/1
R002,S001,T101,ภาษาไทย ม.1,1,2567,38,42,80,3,T002,1/1
R003,S001,S101,วิทยาศาสตร์ ม.1,1,2567,32,35,67,2,T003,1/1
R004,S001,E101,ภาษาอังกฤษ ม.1,1,2567,40,45,85,4,T004,1/1
R005,S001,SS101,สังคมศึกษา ม.1,1,2567,36,38,74,2.5,T005,1/1
R006,S002,M101,คณิตศาสตร์ ม.1,1,2567,40,42,82,3.5,T001,1/1
R007,S002,T101,ภาษาไทย ม.1,1,2567,35,38,73,2.5,T002,1/1
R008,S002,S101,วิทยาศาสตร์ ม.1,1,2567,38,40,78,3,T003,1/1
R009,S002,E101,ภาษาอังกฤษ ม.1,1,2567,42,43,85,4,T004,1/1
R010,S002,SS101,สังคมศึกษา ม.1,1,2567,37,39,76,3,T005,1/1
R011,S003,M101,คณิตศาสตร์ ม.1,1,2567,45,48,93,4,T001,1/2
R012,S003,T101,ภาษาไทย ม.1,1,2567,42,45,87,4,T002,1/2
R013,S003,S101,วิทยาศาสตร์ ม.1,1,2567,40,43,83,3.5,T003,1/2
R014,S003,E101,ภาษาอังกฤษ ม.1,1,2567,43,45,88,4,T004,1/2
R015,S003,SS101,สังคมศึกษา ม.1,1,2567,41,42,83,3.5,T005,1/2
R016,S004,M101,คณิตศาสตร์ ม.1,1,2567,30,32,62,2,T001,1/2
R017,S004,T101,ภาษาไทย ม.1,1,2567,33,35,68,2,T002,1/2
R018,S004,S101,วิทยาศาสตร์ ม.1,1,2567,28,30,58,1.5,T003,1/2
R019,S004,E101,ภาษาอังกฤษ ม.1,1,2567,35,37,72,2.5,T004,1/2
R020,S004,SS101,สังคมศึกษา ม.1,1,2567,32,34,66,2,T005,1/2
R021,S009,M201,คณิตศาสตร์ ม.2,1,2567,38,40,78,3,T009,2/1
R022,S009,T201,ภาษาไทย ม.2,1,2567,40,42,82,3.5,T010,2/1
R023,S009,S201,วิทยาศาสตร์ ม.2,1,2567,35,38,73,2.5,T011,2/1
R024,S009,E201,ภาษาอังกฤษ ม.2,1,2567,42,44,86,4,T012,2/1
R025,S009,SS201,สังคมศึกษา ม.2,1,2567,37,40,77,3,T013,2/1
R026,S010,M201,คณิตศาสตร์ ม.2,1,2567,43,45,88,4,T009,2/1
R027,S010,T201,ภาษาไทย ม.2,1,2567,38,40,78,3,T010,2/1
R028,S010,S201,วิทยาศาสตร์ ม.2,1,2567,40,42,82,3.5,T011,2/1
R029,S010,E201,ภาษาอังกฤษ ม.2,1,2567,45,47,92,4,T012,2/1
R030,S010,SS201,สังคมศึกษา ม.2,1,2567,39,41,80,3,T013,2/1
R031,S017,M301,คณิตศาสตร์ ม.3,1,2567,42,44,86,4,T017,3/1
