subject_code,subject_name,grade_level,credit,subject_group,teacher_id,class_room,students_enrolled,schedule
M101,คณิตศาสตร์ ม.1,ม.1,1.5,คณิตศาสตร์,T001,1/1,30,จันทร์ 08:30-10:00
M101,คณิตศาสตร์ ม.1,ม.1,1.5,คณิตศาสตร์,T001,1/2,28,จันทร์ 10:15-11:45
M101,คณิตศาสตร์ ม.1,ม.1,1.5,คณิตศาสตร์,T009,1/3,32,จันทร์ 13:00-14:30
M101,คณิตศาสตร์ ม.1,ม.1,1.5,คณิตศาสตร์,T017,1/4,29,จันทร์ 14:45-16:15
T101,ภาษาไทย ม.1,ม.1,1.5,ภาษาไทย,T002,1/1,30,อังคาร 08:30-10:00
T101,ภาษาไทย ม.1,ม.1,1.5,ภาษาไทย,T002,1/2,28,อังคาร 10:15-11:45
T101,ภาษาไทย ม.1,ม.1,1.5,ภาษาไทย,T010,1/3,32,อังคาร 13:00-14:30
T101,ภาษาไทย ม.1,ม.1,1.5,ภาษาไทย,T010,1/4,29,อังคาร 14:45-16:15
S101,วิทยาศาสตร์ ม.1,ม.1,1.5,วิทยาศาสตร์,T003,1/1,30,พุธ 08:30-10:00
S101,วิทยาศาสตร์ ม.1,ม.1,1.5,วิทยาศาสตร์,T003,1/2,28,พุธ 10:15-11:45
S101,วิทยาศาสตร์ ม.1,ม.1,1.5,วิทยาศาสตร์,T011,1/3,32,พุธ 13:00-14:30
S101,วิทยาศาสตร์ ม.1,ม.1,1.5,วิทยาศาสตร์,T018,1/4,29,พุธ 14:45-16:15
E101,ภาษาอังกฤษ ม.1,ม.1,1.5,ภาษาต่างประเทศ,T004,1/1,30,พฤหัสบดี 08:30-10:00
E101,ภาษาอังกฤษ ม.1,ม.1,1.5,ภาษาต่างประเทศ,T004,1/2,28,พฤหัสบดี 10:15-11:45
E101,ภาษาอังกฤษ ม.1,ม.1,1.5,ภาษาต่างประเทศ,T012,1/3,32,พฤหัสบดี 13:00-14:30
E101,ภาษาอังกฤษ ม.1,ม.1,1.5,ภาษาต่างประเทศ,T019,1/4,29,พฤหัสบดี 14:45-16:15
SS101,สังคมศึกษา ม.1,ม.1,1.0,สังคมศึกษา,T005,1/1,30,ศุกร์ 08:30-10:00
SS101,สังคมศึกษา ม.1,ม.1,1.0,สังคมศึกษา,T005,1/2,28,ศุกร์ 10:15-11:45
SS101,สังคมศึกษา ม.1,ม.1,1.0,สังคมศึกษา,T013,1/3,32,ศุกร์ 13:00-14:30
SS101,สังคมศึกษา ม.1,ม.1,1.0,สังคมศึกษา,T013,1/4,29,ศุกร์ 14:45-16:15
M201,คณิตศาสตร์ ม.2,ม.2,1.5,คณิตศาสตร์,T009,2/1,26,จันทร์ 08:30-10:00
M201,คณิตศาสตร์ ม.2,ม.2,1.5,คณิตศาสตร์,T009,2/2,24,จันทร์ 10:15-11:45
M201,คณิตศาสตร์ ม.2,ม.2,1.5,คณิตศาสตร์,T017,2/3,27,จันทร์ 13:00-14:30
M201,คณิตศาสตร์ ม.2,ม.2,1.5,คณิตศาสตร์,T001,2/4,25,จันทร์ 14:45-16:15
T201,ภาษาไทย ม.2,ม.2,1.5,ภาษาไทย,T010,2/1,26,อังคาร 08:30-10:00
T201,ภาษาไทย ม.2,ม.2,1.5,ภาษาไทย,T010,2/2,24,อังคาร 10:15-11:45
T201,ภาษาไทย ม.2,ม.2,1.5,ภาษาไทย,T002,2/3,27,อังคาร 13:00-14:30
T201,ภาษาไทย ม.2,ม.2,1.5,ภาษาไทย,T002,2/4,25,อังคาร 14:45-16:15
S201,วิทยาศาสตร์ ม.2,ม.2,1.5,วิทยาศาสตร์,T011,2/1,26,พุธ 08:30-10:00
S201,วิทยาศาสตร์ ม.2,ม.2,1.5,วิทยาศาสตร์,T011,2/2,24,พุธ 10:15-11:45
S201,วิทยาศาสตร์ ม.2,ม.2,1.5,วิทยาศาสตร์,T003,2/3,27,พุธ 13:00-14:30
S201,วิทยาศาสตร์ ม.2,ม.2,1.5,วิทยาศาสตร์,T018,2/4,25,พุธ 14:45-16:15
E201,ภาษาอังกฤษ ม.2,ม.2,1.5,ภาษาต่างประเทศ,T012,2/1,26,พฤหัสบดี 08:30-10:00
E201,ภาษาอังกฤษ ม.2,ม.2,1.5,ภาษาต่างประเทศ,T012,2/2,24,พฤหัสบดี 10:15-11:45
E201,ภาษาอังกฤษ ม.2,ม.2,1.5,ภาษาต่างประเทศ,T019,2/3,27,พฤหัสบดี 13:00-14:30
E201,ภาษาอังกฤษ ม.2,ม.2,1.5,ภาษาต่างประเทศ,T004,2/4,25,พฤหัสบดี 14:45-16:15
M301,คณิตศาสตร์ ม.3,ม.3,1.5,คณิตศาสตร์,T017,3/1,22,จันทร์ 08:30-10:00
M301,คณิตศาสตร์ ม.3,ม.3,1.5,คณิตศาสตร์,T017,3/2,21,จันทร์ 10:15-11:45
